Comment,Designator,Footprint,LCSC
1k,"R1,R4,R5",R_0402_1005Metric,C11702
0.1u,"C10,C11,C12,C13,C14,C16,C6,C7,C8,C9",C_0402_1005Metric,C1525
10u,C1,C_0402_1005Metric,C15525
22pF,"C3,C4",C_0402_1005Metric,C1555
SM04B,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
RP2040,U1,RP2040-QFN-56,C2040
27,"R2,R3",R_0603_1608Metric,C25190
Boot,"SW1,SW2",SW_SPST_TL3342,C318884
1u,"C15,C17,C2,C5",C_0402_1005Metric,C52923
XC6206PxxxMR,U4,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70077
SOD-123,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D63,D65,D67,D69,D7,D70,D72,D73,D74,D75,D8,D9",D_SOD-123,C81598
SRV05-4,U3,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
