Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,116.742,-157.113,180.0,bottom
C2,1u,C_0402_1005Metric,126.619,-175.387,90.0,bottom
C3,22pF,C_0402_1005Metric,133.477,-192.5592,270.0,bottom
C4,22pF,C_0402_1005Metric,127.381,-192.405,90.0,bottom
C5,1u,C_0402_1005Metric,125.349,-175.387,90.0,bottom
C6,0.1u,C_0402_1005Metric,130.429,-173.482,90.0,bottom
C7,0.1u,C_0402_1005Metric,122.0216,-178.7144,0.0,bottom
C8,0.1u,C_0402_1005Metric,126.619,-189.992,270.0,bottom
C9,0.1u,C_0402_1005Metric,122.0216,-177.6476,0.0,bottom
C10,0.1u,C_0402_1005Metric,143.424589,-172.634589,225.0,bottom
C11,0.1u,C_0402_1005Metric,121.666,-183.515,315.0,bottom
C12,0.1u,C_0402_1005Metric,127.762,-189.357,270.0,bottom
C13,0.1u,C_0402_1005Metric,129.286,-173.482,90.0,bottom
C14,0.1u,C_0402_1005Metric,134.747,-178.181,90.0,bottom
C15,1u,C_0402_1005Metric,117.729,-150.368,180.0,bottom
C16,0.1u,C_0402_1005Metric,135.0264,-183.1848,225.0,bottom
C17,1u,C_0402_1005Metric,116.742,-155.843,180.0,bottom
D1,SOD-123,D_SOD-123,46.861952,-112.774952,90.0,bottom
D2,SOD-123,D_SOD-123,65.911952,-112.774952,90.0,bottom
D3,SOD-123,D_SOD-123,84.961952,-112.774952,90.0,bottom
D4,SOD-123,D_SOD-123,104.011952,-112.774952,90.0,bottom
D5,SOD-123,D_SOD-123,123.061952,-112.774952,90.0,bottom
D6,SOD-123,D_SOD-123,142.111952,-112.774952,90.0,bottom
D7,SOD-123,D_SOD-123,161.161952,-112.774952,90.0,bottom
D8,SOD-123,D_SOD-123,180.211952,-112.774952,90.0,bottom
D9,SOD-123,D_SOD-123,199.261952,-112.774952,90.0,bottom
D10,SOD-123,D_SOD-123,218.311952,-112.774952,90.0,bottom
D11,SOD-123,D_SOD-123,237.361952,-112.774952,90.0,bottom
D12,SOD-123,D_SOD-123,256.411952,-112.774952,90.0,bottom
D13,SOD-123,D_SOD-123,275.461952,-112.774952,90.0,bottom
D14,SOD-123,D_SOD-123,304.036952,-112.774952,90.0,bottom
D15,SOD-123,D_SOD-123,316.70625,-112.7125,90.0,bottom
D16,SOD-123,D_SOD-123,51.624452,-131.824952,90.0,bottom
D17,SOD-123,D_SOD-123,59.53125,-131.7625,90.0,bottom
D18,SOD-123,D_SOD-123,94.486952,-131.824952,90.0,bottom
D19,SOD-123,D_SOD-123,113.536952,-131.824952,90.0,bottom
D20,SOD-123,D_SOD-123,132.586952,-131.824952,90.0,bottom
D21,SOD-123,D_SOD-123,151.636952,-131.824952,90.0,bottom
D22,SOD-123,D_SOD-123,170.686952,-131.824952,90.0,bottom
D23,SOD-123,D_SOD-123,189.736952,-131.824952,90.0,bottom
D24,SOD-123,D_SOD-123,208.786952,-131.824952,90.0,bottom
D25,SOD-123,D_SOD-123,227.836952,-131.824952,90.0,bottom
D26,SOD-123,D_SOD-123,246.886952,-131.824952,90.0,bottom
D27,SOD-123,D_SOD-123,265.936952,-131.824952,90.0,bottom
D28,SOD-123,D_SOD-123,284.986952,-131.824952,90.0,bottom
D29,SOD-123,D_SOD-123,308.799452,-131.824952,90.0,bottom
D30,SOD-123,D_SOD-123,316.70625,-131.7625,90.0,bottom
D32,SOD-123,D_SOD-123,54.005702,-150.874952,90.0,bottom
D33,SOD-123,D_SOD-123,80.199452,-150.874952,90.0,bottom
D34,SOD-123,D_SOD-123,99.249452,-150.874952,90.0,bottom
D35,SOD-123,D_SOD-123,102.39375,-150.874952,90.0,bottom
D36,SOD-123,D_SOD-123,137.349452,-150.874952,90.0,bottom
D37,SOD-123,D_SOD-123,156.399452,-150.874952,90.0,bottom
D38,SOD-123,D_SOD-123,175.449452,-150.874952,90.0,bottom
D39,SOD-123,D_SOD-123,194.499452,-150.874952,90.0,bottom
D40,SOD-123,D_SOD-123,213.549452,-150.874952,90.0,bottom
D41,SOD-123,D_SOD-123,232.599452,-150.874952,90.0,bottom
D42,SOD-123,D_SOD-123,251.649452,-150.874952,90.0,bottom
D43,SOD-123,D_SOD-123,270.699452,-150.874952,90.0,bottom
D45,SOD-123,D_SOD-123,273.84375,-150.874952,90.0,bottom
D46,SOD-123,D_SOD-123,311.180702,-150.874952,90.0,bottom
D47,SOD-123,D_SOD-123,316.70625,-150.8125,90.0,bottom
D48,SOD-123,D_SOD-123,66.675,-169.924952,90.0,bottom
D49,SOD-123,D_SOD-123,89.724452,-169.924952,90.0,bottom
D50,SOD-123,D_SOD-123,108.774452,-169.924952,90.0,bottom
D51,SOD-123,D_SOD-123,111.91875,-169.924952,90.0,bottom
D52,SOD-123,D_SOD-123,146.874452,-169.924952,90.0,bottom
D53,SOD-123,D_SOD-123,165.924452,-169.924952,90.0,bottom
D54,SOD-123,D_SOD-123,184.974452,-169.924952,90.0,bottom
D55,SOD-123,D_SOD-123,204.024452,-169.924952,90.0,bottom
D56,SOD-123,D_SOD-123,223.074452,-169.924952,90.0,bottom
D57,SOD-123,D_SOD-123,242.124452,-169.924952,90.0,bottom
D58,SOD-123,D_SOD-123,261.174452,-169.924952,90.0,bottom
D59,SOD-123,D_SOD-123,287.368202,-169.924952,90.0,bottom
D60,SOD-123,D_SOD-123,313.561952,-169.924952,90.0,bottom
D61,SOD-123,D_SOD-123,316.70625,-169.924952,90.0,bottom
D63,SOD-123,D_SOD-123,51.624452,-188.974952,90.0,bottom
D65,SOD-123,D_SOD-123,75.436952,-188.974952,90.0,bottom
D67,SOD-123,D_SOD-123,99.249452,-188.974952,90.0,bottom
D69,SOD-123,D_SOD-123,180.211952,-188.974952,90.0,bottom
D70,SOD-123,D_SOD-123,239.743202,-188.974952,90.0,bottom
D72,SOD-123,D_SOD-123,263.555702,-188.974952,90.0,bottom
D73,SOD-123,D_SOD-123,294.511952,-188.974952,90.0,bottom
D74,SOD-123,D_SOD-123,313.561952,-188.974952,90.0,bottom
D75,SOD-123,D_SOD-123,316.70625,-188.974952,90.0,bottom
